公司名称,注册资本,公司属地,公司地址,天眼查网址
江苏远洋数据股份有限公司,12477.5196万人民币,,花桥镇金融大道518号,https://www.tianyancha.com/company/27300654
成都中节能再生能源有限公司洗涤分公司,未查到注册成本,四川省成都市,成都市青白江区利民路1168号,https://www.tianyancha.com/company/3101303292
成都鑫旺通五金建材经营部,3万人民币,四川省成都市,中国（四川）自由贸易试验区成都高新区锦韵路6号附13号,https://www.tianyancha.com/company/5961796083
四川建院建筑设计有限公司,300万人民币,四川省德阳市,四川省德阳市嘉陵江西路4幢二楼,https://www.tianyancha.com/company/204865436
浦林成山（山东）轮胎有限公司,17300万美元,山东省威海市,山东省威海市荣成市南山北路98号,https://www.tianyancha.com/company/482205931
成都创领卫浴有限公司,200万人民币,四川省成都市,成都市青白江区工业集中发展区南区青白江大道99号成都大港建材城一期4区5幢23、24、25号,https://www.tianyancha.com/company/2810308429
陕西万州电器有限公司,1000万人民币,陕西省宝鸡市,陕西省宝鸡市高新开发区八鱼镇姬家殿村四组797号,https://www.tianyancha.com/company/3112994057
阜阳市杜掌柜建材销售有限公司,50万人民币,安徽省阜阳市,安徽省阜阳市开发区淮河路天瑞名城B-105号,https://www.tianyancha.com/company/5371984525
佛山市禅城区陶洗丽卫浴商行,3万人民币,广东省佛山市,佛山市禅城区石湾镇街道华远东路145号首层之六（住所申报）,https://www.tianyancha.com/company/5403803874
成都大港置业有限公司,10000万人民币,四川省成都市,成都市青白江区工业集中发展区南区青白江大道111号,https://www.tianyancha.com/company/1694586391
中建八局（成绵高速项目部）,,,,https://www.tianyancha.com/company/4463775355
怀化市正海传媒广告有限公司,208万人民币,湖南省怀化市,湖南省怀化市鹤城区榆市路13号,https://www.tianyancha.com/company/729690591
安徽荃银高科种业股份有限公司,67666.5537万人民币,安徽省合肥市,安徽省合肥市高新区创新大道98号,https://www.tianyancha.com/company/24792785
杭州鑫湖实业发展有限公司,83755万人民币,浙江省杭州市,浙江省杭州市临安区青山湖街道星港路569（1幢102)（自主申报）,https://www.tianyancha.com/company/5701740973
四川美丰（集团）有限责任公司,20000万人民币,,四川省射洪市太和街道美丰大道2号,https://www.tianyancha.com/company/2329589846
百姓网股份有限公司,38610万人民币,上海市市辖区,上海市闵行区东川路555号戊楼1005室,https://www.tianyancha.com/company/2352084614
福州物联网科技有限公司,5000万人民币,福建省福州市,福州市马尾区魁岐东路136号物联网创新发展中心4号楼10-11层（自贸试验区内）,https://www.tianyancha.com/company/5055755888
榆林市科惠农业科技开发有限责任公司,500万人民币,陕西省榆林市,榆林市高新区圣景路（供排水公司四楼）,https://www.tianyancha.com/company/2311861773
北京闪优惠科技有限公司,142.86万人民币,北京市市辖区,北京市朝阳区农展南路5号9层901,https://www.tianyancha.com/company/2960077808
